name,category,address,lat,lng,closed
G-Style Cafe,カフェ,西五反田1-2-9,35.62587697,139.7224876,TRUE
おにやんま,うどん・そば,西五反田1-6-3,35.62541045,139.7239099,FALSE
華苑,中華料理,西五反田2-6-15,35.626776,139.721934,FALSE
天下一品,ラーメン,西五反田1-11-9,35.624362,139.723381,FALSE
江戸前煮干中華そば きみはん,ラーメン,東五反田2-1-1,35.625627,139.724097,FALSE
天下一,ラーメン,西五反田2-6-3,35.62684258,139.7221929,FALSE
金子咖哩,カレー,西五反田1-7-1,35.625112,139.723837,FALSE
Rød,カフェ,東五反田1-26-2,35.62607836,139.7235864,FALSE
とんかつ 香乃井,和食,東五反田5-27-6,35.627053,139.72338,FALSE
Vie-Buon,イタリア料理,西五反田2-25-6,35.62512702,139.7198671,FALSE
とんかつまるき,和食,西五反田2-6-3,35.626695,139.722144,FALSE
平太周 味庵,ラーメン,大崎4-2-2,35.62249933,139.7231809,FALSE
一風堂スタンド,ラーメン,西五反田1-25-5,35.6237991,139.7225223,TRUE
ミート矢澤,焼肉・ステーキ,西五反田2-15-13,35.626005,139.720583,FALSE
あげ福,和食,西五反田2-15-13,35.626058,139.7205,FALSE
陳麻家 五反田西口店,中華料理,西五反田1-24-4,35.623597,139.722374,FALSE
モンスターグリル,焼肉・ステーキ,西五反田1-25-2,35.623987,139.722451,FALSE
マシューコウズバッファローカフェ,その他,西五反田2-30-10,35.624667,139.719896,FALSE
本格インド料理 ターバン,インド料理,西五反田8-1-3,35.623429,139.721365,TRUE
サンフラワー,アジア料理,東五反田1-12-9,35.62661911,139.7249695,FALSE
インドレストラン ムナ,インド料理,西五反田2-26-3,35.625047,139.72056,FALSE
Hot Spoon,カレー,東五反田1-14-8,35.62590263,139.7254575,FALSE
島たいむ がんじゅう,和食,西五反田2-14-13,35.626367,139.719764,FALSE
とん清,和食,西五反田8-1-14,35.623404,139.721066,FALSE
陳麻家 五反田東口店,中華料理,東五反田1-14-9,35.62598384,139.7248158,FALSE
T.G.I. Friday's,その他,西五反田1-28-2,35.62500544,139.7225516,FALSE
陳麻家 五反田さくら通り店,中華料理,西五反田2-18-3,35.626513,139.721399,FALSE
四十八漁場,和食,東五反田1-26-14,35.62609503,139.7234854,FALSE
めんこや,うどん・そば,西五反田2-4-6,35.627102,139.721801,FALSE
刀削麺 西安飯荘,中華料理,西五反田2-10-8,35.62695,139.720737,FALSE
元祖ニュータンタンメン本舗,ラーメン,東五反田1-18-14,35.62681,139.725972,FALSE
遊庵,うどん・そば,西五反田7-13-11,35.622543,139.71947,FALSE
鳥心,和食,西五反田2-6-12,35.626601,139.722325,FALSE
蕎麦処いづみや,うどん・そば,西五反田2-18-3,35.626431,139.721479,FALSE
陳家私菜,中華料理,西五反田2-26-2,35.625055,139.720585,FALSE
二月堂,うどん・そば,西五反田2-6-3,35.62678202,139.7223135,FALSE
CANTILEVER CAFÉ 柳屋,その他,西五反田2-14-11,35.626276,139.719959,FALSE
FOREST Cafe & Dining,カフェ,西五反田1-32-3,35.62422088,139.7217381,FALSE
B&D KURIYA,その他,西五反田2-12-15,35.626621,139.719371,FALSE
銀座いし井,ラーメン,西五反田1-24-4,35.623537,139.722159,FALSE
方舟,和食,東五反田1-26-14,35.626086,139.723424,FALSE
かれーの店 うどん,カレー,西五反田2-31-5,35.624885,139.719765,FALSE
Maya,インド料理,東五反田5-28-12,35.627484,139.722919,FALSE
PASTA HOUSE ENI,イタリア料理,西五反田2-6-3,35.626742,139.722093,FALSE
アルコ イリス,アジア料理,東五反田1-15-5,35.626145,139.725589,FALSE
グリルエフ,その他,東五反田1-13-9,35.626486,139.724519,FALSE
"あなK""URA",その他,東五反田1-15-7,35.62613935,139.7254866,FALSE
瀬戸内キッチン,和食,西五反田1-28-4,35.62465126,139.7226303,FALSE
来殿寿し,和食,西五反田2-6-3,35.626694,139.72223,FALSE
わったりぼうず,和食,西五反田1-7-1,35.625137,139.723875,FALSE
喜多方ラーメン坂内 小法師 五反田駅前店,ラーメン,西五反田2-5-8,35.62667809,139.7228589,FALSE
芳寿司,和食,西五反田2-15-11,35.625996,139.72073,FALSE
WIRED CAFE Dining Lounge,カフェ,東五反田1-26-14,35.62615826,139.7234103,FALSE
五反田銭場精肉店,焼肉・ステーキ,西五反田2-18-3,35.626605,139.721163,FALSE
蕎麦きり みさか,うどん・そば,西五反田1-17-1,35.624073,139.723196,TRUE
東京酒樓,中華料理,西五反田1-4-8,35.625303,139.723021,FALSE
三田製麺所,ラーメン,西五反田1-17-6,35.623877,139.723046,FALSE
芋蔵,和食,東五反田1-26-14,35.62614498,139.7233455,FALSE
はっぴい亭,和食,西五反田2-10-8,35.62707189,139.7210605,FALSE
なるとキッチン,その他,西五反田2-26-3,35.625035,139.720589,FALSE
スワチカ,その他,西五反田1-27-6,35.624398,139.722947,FALSE
リストランテ デル・ぺッシェ,イタリア料理,西五反田2-15-9,35.62578108,139.7211492,FALSE
名代後楽そば,うどん・そば,東五反田1-26-6,35.625828,139.72409,FALSE
Repas de Naoshima,和食,東五反田5-27-2,35.627229,139.723858,FALSE
Casual Dining One,その他,西五反田2-18,35.626402,139.721517,TRUE
肉バル食堂 そら豆,和食,西五反田2-26-3,35.625084,139.720596,FALSE
KUA`AINA,ハンバーガー,西五反田1-26-7,35.624073,139.722736,FALSE
ロマーノ,イタリア料理,西五反田1-5-1,35.62566417,139.7234103,FALSE
Don Cona Conery,イタリア料理,東五反田2-1-2,35.625632,139.724481,FALSE
KURA,イタリア料理,西五反田1-32-3,35.62418952,139.7217795,FALSE
らーめん山頭火,ラーメン,西五反田2-15-10,35.625924,139.720869,FALSE
浜屋,ラーメン,東五反田4-10-5,35.629561,139.726087,FALSE
アルカサール牧場,焼肉・ステーキ,西五反田2-4-6,35.62704995,139.7219002,FALSE
広州市場,ラーメン,東五反田1-21-10,35.625858,139.726261,FALSE
Sign gotandar,カフェ,東五反田2-1-2,35.62552818,139.7244108,FALSE
ピッツェリア・アリエッタ,イタリア料理,東五反田2-5-1,35.625418,139.727863,FALSE
すてーき亭,焼肉・ステーキ,西五反田1-17-7,35.62403104,139.7231368,FALSE
大山飯店,焼肉・ステーキ,東五反田1-14-14,35.626055,139.724801,FALSE
やさい家めい,和食,東五反田2-1-2,35.62577262,139.7242877,FALSE
SUBWAY 五反田西口店,ファストフード,西五反田1-4-2,35.625139,139.723354,FALSE
ドーサベル,インド料理,西五反田8-4-15,35.622812,139.722489,FALSE
にしぽるこ,イタリア料理,西五反田2-26-4,35.625042,139.72061,FALSE
トラットリア ヴィチーノ,イタリア料理,西五反田2-6-8,35.626519,139.722681,FALSE
桐島家,中華料理,西五反田7-6-2,35.624186,139.719724,FALSE
恵比寿餃子 大豊記,中華料理,西五反田2-10-8,35.627109,139.720841,FALSE
雪月花,和食,西五反田1-3-3,35.625452,139.722698,FALSE
ぽるこ,イタリア料理,東五反田2-9-7,35.624602,139.726607,FALSE
スシロー,和食,西五反田1-3-8,35.625516,139.722333,FALSE
チキンダイニング ちりばり,アジア料理,西五反田7-12-4,35.622729,139.719854,FALSE
Bagatto,イタリア料理,西五反田1-33-10,35.624012,139.721367,FALSE
ねぎし,和食,西五反田1-26-7,35.624046,139.722715,FALSE
KITCHEN&BAR PLANET,イタリア料理,東五反田5-28-10,35.62732029,139.7231233,FALSE
花善,和食,西五反田2-5-14,35.62711535,139.7221389,FALSE
エビスカレーワークス,カレー,西五反田2-30-10,35.624519,139.720208,FALSE
Alegria,その他,西五反田1-30-2,35.62481,139.721809,FALSE
小料理屋はなれ,和食,西五反田1-32-8,35.62399858,139.7218625,FALSE
世野新,和食,西五反田1-32-3,35.6239689,139.7218008,FALSE
いざかや ほうせいどう,和食,西五反田2-31-4,35.624999,139.71984,TRUE
とりさく,和食,西五反田1-25-9,35.62390009,139.7221544,FALSE
Lafa Dining,インド料理,東五反田1-16-1,35.62701915,139.725616,FALSE
たから,和食,西五反田1-28-4,35.62456016,139.7226217,FALSE
日乃屋カレー,カレー,西五反田8-1-1,35.62354411,139.721178,FALSE
いもたろう,和食,東五反田1-18-5,35.62657903,139.7267443,FALSE
プランタン,カフェ,東五反田1-24-1,35.62648,139.7273504,FALSE
ターリー屋,インド料理,東五反田1-25-17,35.6257203,139.7277977,FALSE
ファーストキッチン・ウェンディーズ,ファストフード,東五反田1-13-12,35.627046,139.724751,FALSE
すごい煮干ラーメン凪,ラーメン,西五反田1-17-1,35.62408832,139.7231521,FALSE
Tuitui,その他,西五反田1-30-2,35.624761,139.721846,FALSE
ケンタッキーフライドチキン,ファストフード,東五反田5-27-6,35.627013,139.723457,FALSE
タントタベテ,イタリア料理,東五反田1-21-12,35.625887,139.725996,FALSE
Ryu ASTE'R,その他,東五反田1-25-13,35.625777,139.728225,FALSE
西五反田食堂,和食,西五反田7-10-1,35.62311874,139.7203798,FALSE
ラスクス,インド料理,西五反田7-22-17,35.6215819,139.7191215,FALSE
カフェ マハロ,カフェ,西五反田7-22-17,35.621869,139.718383,FALSE
食事処 志野,和食,西五反田7-22-17,35.62171104,139.7187421,FALSE
喫茶マーブル,カフェ,西五反田7-22-17,35.62136957,139.7188713,FALSE
大戸屋,和食,東五反田2-2-16,35.62560448,139.7249016,FALSE
Spain Val Girona,その他,西五反田8-2-12,35.62295884,139.7207961,FALSE
ガルーダ,アジア料理,西五反田1-17-1,35.62409,139.7233,FALSE
thee morning sunshiNe,カフェ,西五反田1-26-8,35.62416117,139.7226271,FALSE
東京食堂,その他,西五反田1-12-1,35.62409645,139.7237243,FALSE
いろり焼 玉の屋,和食,西五反田1-26-9,35.62408512,139.7224892,FALSE
鶏々味鳥,和食,東五反田1-11-5,35.627241,139.72564,FALSE
IL POPOLO,イタリア料理,東五反田5-21-3,35.628717,139.720911,FALSE
とんかつ とん金,和食,西五反田7-5-4,35.623799,139.719619,FALSE
ジョナサン,その他,東五反田1-12-2,35.626955,139.724747,FALSE
グリルさんばん,その他,東五反田4-10-6,35.62948734,139.7262293,FALSE
バルセロナ,その他,西五反田1-26-9,35.624156,139.722436,FALSE
Think food LOTUS CAFE,カフェ,西五反田7-3-7,35.624276,139.718646,FALSE
リプトン,カフェ,西五反田7-22-17,35.62197333,139.7195789,FALSE
支那そば はせべ,ラーメン,東五反田1-18-14,35.62680359,139.7259611,FALSE
ラスクス,インド料理,西五反田7-24-1,35.62101,139.719108,FALSE
東邦食堂,和食,西五反田7-22-17,35.621487,139.71915,FALSE
クマリマー,アジア料理,大崎5-6-12,35.622466,139.724121,FALSE
伊酒屋Dining Caprice,イタリア料理,西五反田1-4-8,35.62527745,139.7229905,FALSE
カフェ・ビアンコ,カフェ,西五反田2-9-7,35.62691042,139.7211707,FALSE
みしょーれ 奄美,和食,西五反田1-16-1,35.62396277,139.72348,FALSE
肴飯 元,和食,西五反田2-10-8,35.62726797,139.7208703,FALSE
とんかつ和幸,和食,西五反田7-22-17,35.62151717,139.7193858,FALSE
Mr.Chicken鶏飯店,アジア料理,東五反田2-8-5,35.624851,139.72542,FALSE
川菜苑,中華料理,西五反田8-5-1,35.621959,139.721651,FALSE
カーニバル,その他,西五反田1-32-4,35.624233,139.721741,FALSE
スアン・サワン,アジア料理,東五反田4-10-9,35.629144,139.726156,FALSE
味美餃子軒,中華料理,西五反田2-30-5,35.62454708,139.7202855,FALSE
くし倶楽部,和食,西五反田7-12-6,35.622667,139.719665,FALSE
割烹 望月,和食,西五反田7-9-10,35.62358777,139.7204505,FALSE
蕎麦ラー岸上,うどん・そば,東五反田1-25-19,35.62561,139.728192,FALSE
大山飯店,焼肉・ステーキ,西五反田1-11-9,35.624421,139.723409,FALSE
蔵,和食,西五反田7-22-17,35.621326,139.71922,FALSE
Pizzeria BRUNA,イタリア料理,西五反田7-7-2,35.624031,139.720136,FALSE
やなわらバー,和食,西五反田2-10-8,35.62733275,139.7207968,FALSE
EL TRES,カフェ,東五反田2-9-11,35.624309,139.726137,FALSE
EARTH CAFE,カフェ,東五反田5-22-33,35.62799396,139.7222114,FALSE
鉄板焼肉 辨慶,焼肉・ステーキ,東五反田1-16-4,35.626708,139.725404,FALSE
Angel Fake LEGAME,イタリア料理,西五反田8-1-8,35.623027,139.721501,FALSE
福祥餃子楼 西五反田店,中華料理,西五反田2-26-4,35.624996,139.720586,FALSE
魚がし日本一,和食,西五反田1-7-1,35.625188,139.723735,FALSE
Happy Jack,その他,東五反田1-25-10,35.625595,139.72884,FALSE
炭虎,焼肉・ステーキ,西五反田2-10-8,35.626912,139.720921,FALSE
Radicare,イタリア料理,西五反田1-20-2,35.623253,139.723619,FALSE
本格派焼肉 白石家,焼肉・ステーキ,東五反田1-12-5,35.626909,139.725125,FALSE
Ushihachi,焼肉・ステーキ,西五反田1-17-7,35.624017,139.723185,FALSE
7025 Franklin Ave.,ハンバーガー,東五反田3-15-18,35.62587919,139.7296438,FALSE
Bond,イタリア料理,東五反田3-17-21,35.62630651,139.7281122,FALSE
il cavallo,イタリア料理,東五反田5-25-19,35.627684,139.724418,FALSE
Le Cafe Perfumes,その他,東五反田4-7-29,35.62983701,139.7273391,FALSE
タコライス&カレーの店,カレー,東五反田4-3-17,35.631013,139.727207,FALSE
MUSCLE GRILL TOKYO,焼肉・ステーキ,東五反田3-17-14,35.625823,139.729206,TRUE
東海酒家,中華料理,西五反田2-10-8,35.626943,139.720845,FALSE
h:armonia,イタリア料理,西五反田2-31-4,35.624925,139.719808,FALSE
地獄の担担麺 護摩龍,ラーメン,東五反田2-20-1,35.624895,139.730299,FALSE
塩梅,和食,東五反田2-3-4,35.62548628,139.7261971,FALSE
味千草,カフェ,西五反田2-31-6,35.624788,139.719533,FALSE
バンコク食堂 ポーモンコン,アジア料理,大崎5-7-14,35.622217,139.724556,FALSE
哈爾濱,中華料理,五反田2-11-15,35.627204,139.719886,FALSE
馬焼肉十六番,焼肉・ステーキ,西五反田2-10-8,35.627076,139.720759,FALSE
居肴屋 多吉,和食,西五反田2-10-8,35.626943,139.720852,FALSE
台湾料理 福源,中華料理,西五反田2-26-7,35.624985,139.720201,FALSE
ファイヤーホール4000,ラーメン,東五反田1-25-19,35.62566,139.728015,FALSE
サッカール,インド料理,西五反田3-9-12,35.626253,139.716782,FALSE
焼肉ライク,焼肉・ステーキ,西五反田1-17-6,35.623806,139.722965,FALSE
喫茶マジョルカ,カフェ,東五反田2-20-1,35.6249199,139.7303116,FALSE
珈琲茶館 集 五反田東口店,カフェ,東五反田5-27-6,35.626971,139.72348,FALSE
La Belle,イタリア料理,東五反田1-21-14,35.625924,139.72574,FALSE
アカンサス,カフェ,東五反田3-17-14,35.625884,139.729215,FALSE
鉄板二百℃,和食,東五反田2-1-2,35.62550324,139.7245009,FALSE
そば処 ことぶき,うどん・そば,西五反田2-10-8,35.626998,139.720734,FALSE
Gyu-tan工房 Lamp,その他,西五反田2-4-6,35.62719166,139.7217339,FALSE
肉ビストロチーズ&ワイン BELL,焼肉・ステーキ,西五反田8-4-15,35.622818,139.722467,FALSE
Bread & Coffee Ikedayama,カフェ,東五反田5-10-18,35.628858,139.725233,FALSE
シロクマカレー,カレー,西五反田7-22-17,35.62146401,139.7190909,FALSE
辰巳家,中華料理,大崎4-2-2,35.62236354,139.7233381,FALSE
らーめん香月,ラーメン,西五反田1-24-4,35.62361066,139.7221309,FALSE
げってん,和食,西五反田1-32-4,35.62407178,139.7219646,FALSE
中華料理 美味閣,中華料理,西五反田1-23-4,35.623174,139.722915,FALSE
ばぁでぃー,和食,東五反田1-15-5,35.62622,139.72563,FALSE
まぐろのなかだ屋,和食,西五反田7-22-17,35.621763,139.719065,FALSE
中華ダイニング 逸品源,中華料理,西五反田8-1-7,35.623144,139.721621,FALSE
BRASE,焼肉・ステーキ,西五反田8-1-1,35.623458,139.72127,FALSE
上等カレー,カレー,西五反田2-18-3,35.626385,139.7215033,FALSE
夢吟坊,うどん・そば,東五反田2-1-2,35.6256455,139.724177,FALSE
シーアン,中華料理,西五反田2-29-10,35.62432,139.72059,FALSE
呑喜,和食,東五反田1-6-6,35.62728977,139.725827,FALSE
よってこや,ラーメン,西五反田2-7-11,35.626377,139.72214,FALSE
琉球料理 尚喜,和食,東五反田2-4-12,35.62539714,139.7270871,FALSE
越路家,うどん・そば,西五反田2-17-3,35.626433,139.721117,FALSE
和美屋 あじ,和食,東五反田1-15-7,35.62615214,139.7254746,FALSE
刀削麺 顧の店,中華料理,東五反田1-12-13,35.627121,139.724853,FALSE
ぎたろう軍鶏炭火焼鳥 たかはし,和食,西五反田1-7-1,35.625188,139.723943,FALSE
角八庵,うどん・そば,東五反田2-19-10,35.62477818,139.7300166,FALSE
魁力屋,ラーメン,西五反田1-8-1,35.62495232,139.7238659,FALSE
ラックタイペンロイ,アジア料理,西五反田1-24-4,35.62354498,139.7223213,FALSE
食堂 とだか,和食,西五反田1-9-3,35.624874,139.7242805,FALSE
梅林,中華料理,東五反田1-24-1,35.62644495,139.7274108,FALSE
広東料理 亜細亜,中華料理,東五反田1-13-9,35.626457,139.72446,FALSE
中国名菜料理 大康,中華料理,東五反田2-3-10,35.625325,139.726497,FALSE
とんかつ 神楽坂さくら,和食,東五反田2-2-2,35.625581,139.725059,FALSE
サカナバル,その他,西五反田1-2-8,35.625753,139.722674,FALSE
蕎麦五反,うどん・そば,西五反田1-2-8,35.6257462,139.7226727,FALSE
錦わらい,その他,西五反田1-2-8,35.625711,139.72266,FALSE
五輪鮨,和食,西五反田2-7-8,35.6263488,139.7224722,FALSE
ファットバー,その他,西五反田1-12-1,35.62402602,139.7237276,FALSE
祥龍餃子房,中華料理,東五反田2-4-2,35.625821,139.727046,FALSE
火鳳酒場,中華料理,西五反田1-32-5,35.624006,139.722057,FALSE
オジから弁当,ファストフード,西五反田2-18-3,35.626551,139.721331,FALSE
そば倉一,うどん・そば,西五反田7-7-21,35.62401074,139.7201192,FALSE
福禄寿,中華料理,東五反田4-10-7,35.62931938,139.7263298,FALSE
酒 蕎麦 田治,和食,西五反田8-2-6,35.62271566,139.7213101,FALSE
山田うどん食堂,和食,西五反田7-22-17,35.62174,139.7185,FALSE
意気な寿し処 阿部,和食,西五反田7-16-3,35.623494,139.719422,FALSE
麺屋 お杉,ラーメン,東五反田1-23-6,35.62624773,139.7269193,FALSE
ネギタン ホルモン寺山,焼肉・ステーキ,東五反田1-12-9,35.626709,139.72493,FALSE
Barley Village,その他,東五反田1-16-3,35.626741,139.725449,FALSE
大漁ずし,和食,西五反田7-5-1,35.624194,139.719544,FALSE
炭火串焼 いろどりや,和食,東五反田1-12-9,35.626766,139.724846,FALSE
La Fata,イタリア料理,大崎4-2-2,35.622295,139.723049,FALSE
しんぱち食堂,和食,西五反田1-25-5,35.623832,139.722568,FALSE
七厘焼 若,和食,西五反田1-26-9,35.62418734,139.7224045,FALSE
なかみち,和食,西五反田7-22-17,35.62188133,139.7192341,FALSE
炭よし商店,和食,東五反田3-17-14,35.625883,139.729163,FALSE
Porker,その他,大崎5-7-14,35.622121,139.724591,FALSE
東京豆漿生活,カフェ,西五反田1-20-3,35.62292497,139.7238689,FALSE
福縁,中華料理,西五反田7-17-9,35.623182,139.718777,FALSE
Good Old Diner,その他,西五反田2-31-4,35.624997,139.719848,FALSE
そば処 高はし,うどん・そば,西五反田1-3-3,35.6255737,139.7231146,FALSE
東海菜館,中華料理,西五反田1-4-8,35.625208,139.723259,FALSE
平和軒,和食,西五反田7-18-4,35.62322,139.718615,FALSE
はなまるうどん,うどん・そば,西五反田2-7-8,35.626278,139.7226,FALSE
串揚げ酒場 仲丸,和食,西五反田1-16-1,35.6239863,139.7235289,FALSE
安泰楼 新館,中華料理,東五反田1-12-10,35.626844,139.724847,FALSE
